
This is the output file for the script demultiplexing.py.
Number of Matched Index Pairs:	331755033	(91.33049275721639%)
Number of Index-Hopped Index Pairs:	707740	(0.19483726398807136%)
Number of Unknown/Low Quality Index Pairs:	30783962	(8.474669978795541%)
Number of Total Index Pairs:	363246735

Counters for Matched Index Pairs

Index Pair	Count	Percentage out of Matched Reads
('C10', 'B9')	1079	0.00029704327555759034%
('C10', 'C1')	1934	0.000532420477227414%
('C10', 'C10')	42094112	11.58829741442824%
('C10', 'C2')	4468	0.0012300179380827746%
('C10', 'C3')	1234	0.00033971399632814315%
('C10', 'C4')	10986	0.0030243905702276993%
('C10', 'C7')	951	0.0002618055190502951%
('C10', 'C9')	1719	0.0004732320580940666%
('C2', 'A1')	307	8.451555662296593e-05%
('C2', 'A10')	562	0.00015471577466484316%
('C2', 'A11')	472	0.0001299392271206512%
('C2', 'A12')	112	3.083303694388333e-05%
('C2', 'A2')	314	8.644262143195864e-05%
('C2', 'A3')	473	0.00013021452209336444%
('C2', 'A5')	219	6.028959902420045e-05%
('C2', 'A7')	137	3.771541126171444e-05%
('C2', 'A8')	267	7.350375771443616e-05%
('C2', 'B1')	258	7.102610296001697e-05%
('C2', 'B10')	372	0.0001024097298493268%
('C2', 'B2')	253	6.964962809645076e-05%
('C2', 'B3')	1349	0.00037137291819016623%
('C2', 'B4')	178	4.900250514295745e-05%
('C2', 'B7')	288	7.928495214141429e-05%
('C2', 'B8')	157	4.322131071597932e-05%
('C2', 'B9')	195	5.3682519679082596e-05%
('C2', 'C1')	617	0.00016985699816407157%
('C2', 'C10')	1391	0.0003829353070441225%
('C2', 'C2')	6887592	1.8961194516999582%
('C2', 'C3')	175	4.817662022481771e-05%
('C2', 'C4')	2090	0.0005753664929706801%
('C2', 'C7')	84	2.31247777079125e-05%
('C2', 'C9')	228	6.276725377861965e-05%
('C3', 'A1')	217	5.9739009078773966e-05%
('C3', 'A10')	258	7.102610296001697e-05%
('C3', 'A11')	509	0.00014012514111104123%
('C3', 'A12')	85	2.3400072680625745e-05%
('C3', 'A2')	203	5.588487946078855e-05%
('C3', 'A3')	399	0.00010984269411258438%
('C3', 'A5')	228	6.276725377861965e-05%
('C3', 'A7')	163	4.487308055225879e-05%
('C3', 'A8')	339	9.332499574978974e-05%
('C3', 'B1')	148	4.074365596156012e-05%
('C3', 'B10')	244	6.717197334203155e-05%
('C3', 'B2')	147	4.046836098884688e-05%
('C3', 'B3')	766	0.00021087594909834496%
('C3', 'B4')	164	4.514837552497203e-05%
('C3', 'B7')	309	8.506614656839242e-05%
('C3', 'B8')	162	4.459778557954554e-05%
('C3', 'B9')	154	4.2395425797839583e-05%
('C3', 'C1')	185	5.092956995195015e-05%
('C3', 'C10')	1316	0.0003622881840906292%
('C3', 'C2')	386	0.0001062638594673122%
('C3', 'C3')	5064906	1.394343159065146%
('C3', 'C4')	7265	0.002000017976761718%
('C3', 'C7')	203	5.588487946078855e-05%
('C3', 'C9')	351	9.662853542234867e-05%
('C4', 'A1')	2928	0.0008060636801043787%
('C4', 'A10')	5863	0.00161405442501775%
('C4', 'A11')	5282	0.001454108045871355%
('C4', 'A12')	1237	0.0003405398812462829%
('C4', 'A2')	2665	0.0007336611022807955%
('C4', 'A3')	5737	0.0015793672584558814%
('C4', 'A5')	2118	0.000583074752206651%
('C4', 'A7')	1427	0.00039284592606179936%
('C4', 'A8')	2734	0.0007526564553980093%
('C4', 'B1')	2217	0.0006103289545052621%
('C4', 'B10')	2906	0.0008000071907046872%
('C4', 'B2')	1798	0.0004949803609384128%
('C4', 'B3')	20269	0.005579953801924744%
('C4', 'B4')	3170	0.0008726850635009838%
('C4', 'B7')	4603	0.0012671827593990625%
('C4', 'B8')	1922	0.0005291169375548551%
('C4', 'B9')	2269	0.0006246442930863508%
('C4', 'C1')	2203	0.0006064748248872767%
('C4', 'C10')	13576	0.0037374045495550015%
('C4', 'C2')	3453	0.0009505935407788318%
('C4', 'C3')	2913	0.0008019342555136799%
('C4', 'C4')	76363857	21.022585929093072%
('C4', 'C7')	1434	0.000394772990870792%
('C4', 'C9')	4661	0.0012831498678164306%
('C7', 'A1')	371	0.00010213443487661356%
('C7', 'A10')	179	4.9277800115670695e-05%
('C7', 'A11')	371	0.00010213443487661356%
('C7', 'A12')	67	1.844476317178735e-05%
('C7', 'A2')	158	4.3496605688692565e-05%
('C7', 'A3')	279	7.680729738699509e-05%
('C7', 'A5')	174	4.7901325252104466e-05%
('C7', 'A7')	108	2.973185705303036e-05%
('C7', 'A8')	223	6.139077891505344e-05%
('C7', 'B1')	131	3.606364142543497e-05%
('C7', 'B10')	191	5.258133978822962e-05%
('C7', 'B2')	101	2.7804792244037653e-05%
('C7', 'B3')	660	0.0001816946819907411%
('C7', 'B4')	132	3.6338936398148213e-05%
('C7', 'B7')	358	9.855560023134139e-05%
